Ranking,Name,Tuition,Board,Salary
> 600,California Baptist University,"$32,256","$8,630","$41,200"
> 600,California University of Pennsylvania,"$15,326","$10,166","$39,733"
> 600,Carroll University,"$31,144","$9,494","$42,300"
> 600,Carthage College,"$41,950","$11,600","$44,133"
> 600,Centenary University,"$32,580","$11,110","$43,567"
> 600,Central Michigan University,"$22,881","$9,736","$40,633"
> 600,University of Central Missouri,"$14,150","$8,644","$37,100"
> 600,University of Central Oklahoma,"$17,447","$7,970","$38,500"
> 600,Christopher Newport University,"$25,850","$11,224","$44,333"
> 600,Clarion University of Pennsylvania,"$15,586","$11,520","$37,233"
> 600,Clark Atlanta University,"$21,892","$10,878","$34,650"
> 600,Coastal Carolina University,"$25,872","$9,414","$37,300"
> 600,University of Colorado Colorado Springs,"$19,498","$10,400","$41,867"
> 600,Colorado Mesa University,"$20,330","$10,735","$35,600"
> 600,Columbia College Chicago,"$26,474","$13,630","$33,600"
> 600,Columbus State University,"$16,920","$10,550","$35,167"
> 600,Concordia University Irvine,"$34,100","$10,960","$44,400"
> 600,Corban University,"$31,640","$10,060","$36,400"
> 600,Cornerstone University,"$27,520","$9,030","$35,833"
> 600,Curry College,"$38,596","$14,735","$45,500"
> 600,D'Youville College,"$25,870","$11,808","$47,567"
> 600,Delaware Valley University,"$38,000","$13,950","$40,500"
> 600,Drury University,"$27,015","$8,036","$31,800"
> 600,University of Dubuque,"$29,710","$9,450","$38,433"
> 600,East Central University,"$15,720","$6,730","$35,467"
> 600,East Stroudsburg University,"$21,536","$8,792","$43,633"
> 600,East Tennessee State University,"$26,463","$7,952","$34,833"
> 600,Eastern Kentucky University,"$19,144","$9,728","$35,000"
> 600,Eastern Michigan University,"$29,200","$9,854","$37,967"
> 600,Eastern Washington University,"$23,862","$11,493","$42,200"
> 600,Edinboro University,"$14,668","$11,219","$35,000"
> 600,Endicott College,"$32,154","$14,900","$49,267"
> 600,Evangel University,"$22,745","$8,196","$34,967"
> 600,Fairleigh Dickinson University,"$39,446","$13,086","$48,000"
> 600,Ferris State University,"$18,570","$9,894","$42,900"
> 600,University of Findlay,"$33,320","$9,720","$41,833"
> 600,Fitchburg State University,"$16,235","$10,676","$42,700"
> 600,Flagler College,"$18,200","$10,680","$37,500"
> 600,Florida Agricultural and Mechanical University,"$17,725","$10,594","$36,267"
> 600,Florida Gulf Coast University,"$25,162","$9,672","$41,500"
> 600,Florida Southern College,"$34,774","$11,204","$39,733"
> 600,Framingham State University,"$16,000","$11,820","$45,433"
> 600,Franciscan University of Steubenville,"$26,430","$8,400","$36,267"
